Freq.	V(vo)/V(vi)
1.00000000000000e+01	-3.81370102487822e+00
1.02305972984251e+01	-3.39295405689319e+00
1.04665121082543e+01	-2.97351706027187e+00
1.07078670498640e+01	-2.55536782347814e+00
1.09547875712233e+01	-2.13848486343378e+00
1.12074020130978e+01	-1.72284749046216e+00
1.14658416757562e+01	-1.30843587135358e+00
1.17302408872161e+01	-8.95231086440654e-01
1.20007370730629e+01	-4.83215184445418e-01
1.22774708278787e+01	-7.23712322064509e-02
1.25605859883189e+01	3.37316637375843e-01
1.28502297078731e+01	7.45863182511341e-01
1.31465525333508e+01	1.15328201145769e+00
1.34497084831302e+01	1.55958554521246e+00
1.37598551272117e+01	1.96478498254744e+00
1.40771536691173e+01	2.36889026776449e+00
1.44017690296786e+01	2.77191006138318e+00
1.47338699327572e+01	3.17385171206169e+00
1.50736289929412e+01	3.57472123168480e+00
1.54212228052647e+01	3.97452327162775e+00
1.57768320369952e+01	4.37326110209909e+00
1.61406415215389e+01	4.77093659105289e+00
1.65128403545104e+01	5.16755018710442e+00
1.68936219920179e+01	5.56310090220870e+00
1.72831843512153e+01	5.95758629709832e+00
1.76817299131726e+01	6.35100246678442e+00
1.80894658281185e+01	6.74334402815828e+00
1.85066040231103e+01	7.13460410910704e+00
1.89333613121855e+01	7.52477433788626e+00
1.93699595090551e+01	7.91384483455535e+00
1.98166255423942e+01	8.30180420341333e+00
2.02735915737920e+01	8.68863952626149e+00
2.07410951184210e+01	9.07433635739806e+00
2.12193791684895e+01	9.45887872007725e+00
2.17086923195406e+01	9.84224910305650e+00
2.22092888996634e+01	1.02244284602330e+01
2.27214291016839e+01	1.06053962103871e+01
2.32453791184044e+01	1.09851302392994e+01
2.37814112809615e+01	1.13636069027512e+01
2.43298042003741e+01	1.17408010321605e+01
2.48908429123558e+01	1.21166859410999e+01
2.54648190254671e+01	1.24912334341154e+01
2.60520308726827e+01	1.28644138180090e+01
2.66527836664555e+01	1.32361959143528e+01
2.72673896573547e+01	1.36065470751148e+01
2.78961682963638e+01	1.39754332000934e+01
2.85394464009191e+01	1.43428187570465e+01
2.91975583247790e+01	1.47086668043368e+01
2.98708461318093e+01	1.50729390164297e+01
3.05596597737760e+01	1.54355957117641e+01
3.12643572722382e+01	1.57965958840719e+01
3.19853049046357e+01	1.61558972357259e+01
3.27228773946669e+01	1.65134562149945e+01
3.34774581070574e+01	1.68692280556848e+01
3.42494392468201e+01	1.72231668203026e+01
3.50392220631091e+01	1.75752254458230e+01
3.58472170577761e+01	1.79253557924092e+01
3.66738441987342e+01	1.82735086962923e+01
3.75195331382432e+01	1.86196340237851e+01
3.83847234362282e+01	1.89636807299217e+01
3.92698647887470e+01	1.93055969189177e+01
4.01754172617274e+01	1.96453299076455e+01
4.11018515300928e+01	1.99828262921361e+01
4.20496491224037e+01	2.03180320160302e+01
4.30193026711386e+01	2.06508924414666e+01
4.40113161687482e+01	2.09813524227143e+01
4.50262052296127e+01	2.13093563812743e+01
4.60644973580409e+01	2.16348483831163e+01
4.71267322224483e+01	2.19577722180204e+01
4.82134619358582e+01	2.22780714792931e+01
4.93252513428712e+01	2.25956896471300e+01
5.04626783132516e+01	2.29105701704184e+01
5.16263340422846e+01	2.32226565523479e+01
5.28168233580588e+01	2.35318924349819e+01
5.40347650358351e+01	2.38382216858276e+01
5.52807921196649e+01	2.41415884852550e+01
5.65555522514243e+01	2.44419374133334e+01
5.78597080074360e+01	2.47392135391861e+01
5.91939372428539e+01	2.50333625095254e+01
6.05589334439885e+01	2.53243306381242e+01
6.19554060887574e+01	2.56120649957666e+01
6.33840810154470e+01	2.58965135012109e+01
6.48457007999789e+01	2.61776250118645e+01
6.63410251418746e+01	2.64553494157282e+01
6.78708312591213e+01	2.67296377229230e+01
6.94359142921431e+01	2.70004421591183e+01
7.10370877170875e+01	2.72677162577368e+01
7.26751837686421e+01	2.75314149544038e+01
7.43510538726017e+01	2.77914946802015e+01
7.60655690884097e+01	2.80479134563962e+01
7.78196205619051e+01	2.83006309887488e+01
7.96141199885091e+01	2.85496087616099e+01
8.14500000870932e+01	2.87948101332882e+01
8.33282150847739e+01	2.90362004286699e+01
8.52497412128872e+01	2.92737470331641e+01
8.72155772144001e+01	2.95074194844435e+01
8.92267448630227e+01	2.97371895634839e+01
9.12842894942904e+01	2.99630313829711e+01
9.33892805488941e+01	3.01849214736181e+01
9.55428121285378e+01	3.04028388681873e+01
9.77460035646155e+01	3.06167651809285e+01
1.00000000000000e+02	3.08266846837902e+01
1.02305972984251e+02	3.10325843782733e+01
1.04665121082543e+02	3.12344540609858e+01
1.07078670498640e+02	3.14322863846205e+01
1.09547875712234e+02	3.16260769115209e+01
1.12074020130978e+02	3.18158241605947e+01
1.14658416757563e+02	3.20015296470466e+01
1.17302408872162e+02	3.21831979130484e+01
1.20007370730629e+02	3.23608365509533e+01
1.22774708278787e+02	3.25344562167247e+01
1.25605859883189e+02	3.27040706338644e+01
1.28502297078731e+02	3.28696965885850e+01
1.31465525333509e+02	3.30313539139118e+01
1.34497084831303e+02	3.31890654651562e+01
1.37598551272118e+02	3.33428570831712e+01
1.40771536691173e+02	3.34927575502771e+01
1.44017690296787e+02	3.36387985335358e+01
1.47338699327572e+02	3.37810145201162e+01
1.50736289929413e+02	3.39194427420499e+01
1.54212228052647e+02	3.40541230925057e+01
1.57768320369953e+02	3.41850980333548e+01
1.61406415215390e+02	3.43124124936047e+01
1.65128403545105e+02	3.44361137613564e+01
1.68936219920180e+02	3.45562513681990e+01
1.72831843512154e+02	3.46728769672820e+01
1.76817299131726e+02	3.47860442057468e+01
1.80894658281186e+02	3.48958085926914e+01
1.85066040231103e+02	3.50022273627518e+01
1.89333613121855e+02	3.51053593364321e+01
1.93699595090551e+02	3.52052647779894e+01
1.98166255423943e+02	3.53020052518648e+01
2.02735915737920e+02	3.53956434782987e+01
2.07410951184210e+02	3.54862431883685e+01
2.12193791684896e+02	3.55738689803127e+01
2.17086923195407e+02	3.56585861770935e+01
2.22092888996635e+02	3.57404606856421e+01
2.27214291016839e+02	3.58195588592823e+01
2.32453791184045e+02	3.58959473635243e+01
2.37814112809616e+02	3.59696930450335e+01
2.43298042003742e+02	3.60408628059270e+01
2.48908429123559e+02	3.61095234818476e+01
2.54648190254672e+02	3.61757417257496e+01
2.60520308726828e+02	3.62395838972875e+01
2.66527836664556e+02	3.63011159571438e+01
2.72673896573548e+02	3.63604033685065e+01
2.78961682963639e+02	3.64175110029070e+01
2.85394464009192e+02	3.64725030543837e+01
2.91975583247791e+02	3.65254429578267e+01
2.98708461318094e+02	3.65763933152324e+01
3.05596597737761e+02	3.66254158267805e+01
3.12643572722383e+02	3.66725712295854e+01
3.19853049046358e+02	3.67179192408672e+01
3.27228773946670e+02	3.67615185085826e+01
3.34774581070575e+02	3.68034265664913e+01
3.42494392468202e+02	3.68436997957922e+01
3.50392220631093e+02	3.68823933920406e+01
3.58472170577762e+02	3.69195613363452e+01
3.66738441987343e+02	3.69552563724308e+01
3.75195331382434e+02	3.69895299881556e+01
3.83847234362283e+02	3.70224324011917e+01
3.92698647887472e+02	3.70540125495000e+01
4.01754172617275e+02	3.70843180845393e+01
4.11018515300930e+02	3.71133953693657e+01
4.20496491224038e+02	3.71412894797529e+01
4.30193026711388e+02	3.71680442081555e+01
4.40113161687483e+02	3.71937020705003e+01
4.50262052296129e+02	3.72183043165291e+01
4.60644973580411e+02	3.72418909413986e+01
4.71267322224485e+02	3.72645007000414e+01
4.82134619358584e+02	3.72861711236350e+01
4.93252513428714e+02	3.73069385375721e+01
5.04626783132518e+02	3.73268380810938e+01
5.16263340422848e+02	3.73459037279706e+01
5.28168233580590e+02	3.73641683091772e+01
5.40347650358353e+02	3.73816635355321e+01
5.52807921196651e+02	3.73984200220003e+01
5.65555522514245e+02	3.74144673126422e+01
5.78597080074362e+02	3.74298339056420e+01
5.91939372428541e+02	3.74445472791358e+01
6.05589334439888e+02	3.74586339175674e+01
6.19554060887576e+02	3.74721193380317e+01
6.33840810154473e+02	3.74850281163697e+01
6.48457007999791e+02	3.74973839142544e+01
6.63410251418748e+02	3.75092095052699e+01
6.78708312591215e+02	3.75205268016931e+01
6.94359142921433e+02	3.75313568803233e+01
7.10370877170877e+02	3.75417200083052e+01
7.26751837686424e+02	3.75516356695146e+01
7.43510538726019e+02	3.75611225890339e+01
7.60655690884099e+02	3.75701987584301e+01
7.78196205619053e+02	3.75788814605979e+01
7.96141199885094e+02	3.75871872930105e+01
8.14500000870935e+02	3.75951321919253e+01
8.33282150847742e+02	3.76027314555235e+01
8.52497412128875e+02	3.76099997656974e+01
8.72155772144005e+02	3.76169512108175e+01
8.92267448630230e+02	3.76235993071015e+01
9.12842894942907e+02	3.76299570190084e+01
9.33892805488944e+02	3.76360367800876e+01
9.55428121285382e+02	3.76418505126280e+01
9.77460035646158e+02	3.76474096468220e+01
1.00000000000001e+03	3.76527251392633e+01
1.02305972984252e+03	3.76578074916139e+01
1.04665121082543e+03	3.76626667672689e+01
1.07078670498640e+03	3.76673126089292e+01
1.09547875712234e+03	3.76717542549522e+01
1.12074020130979e+03	3.76760005549704e+01
1.14658416757563e+03	3.76800599857527e+01
1.17302408872162e+03	3.76839406652244e+01
1.20007370730630e+03	3.76876503676483e+01
1.22774708278788e+03	3.76911965369585e+01
1.25605859883190e+03	3.76945863000994e+01
1.28502297078732e+03	3.76978264800331e+01
1.31465525333509e+03	3.77009236080841e+01
1.34497084831303e+03	3.77038839358282e+01
1.37598551272118e+03	3.77067134463858e+01
1.40771536691174e+03	3.77094178661281e+01
1.44017690296787e+03	3.77120026745270e+01
1.47338699327573e+03	3.77144731146745e+01
1.50736289929413e+03	3.77168342034190e+01
1.54212228052648e+03	3.77190907405218e+01
1.57768320369953e+03	3.77212473177953e+01
1.61406415215391e+03	3.77233083276671e+01
1.65128403545105e+03	3.77252779722495e+01
1.68936219920180e+03	3.77271602703132e+01
1.72831843512154e+03	3.77289590661182e+01
1.76817299131727e+03	3.77306780359022e+01
1.80894658281187e+03	3.77323206958945e+01
1.85066040231104e+03	3.77338904082813e+01
1.89333613121856e+03	3.77353903884266e+01
1.93699595090552e+03	3.77368237108786e+01
1.98166255423943e+03	3.77381933153380e+01
2.02735915737921e+03	3.77395020125287e+01
2.07410951184211e+03	3.77407524898655e+01
2.12193791684897e+03	3.77419473165816e+01
2.17086923195408e+03	3.77430889489309e+01
2.22092888996636e+03	3.77441797347351e+01
2.27214291016840e+03	3.77452219187136e+01
2.32453791184046e+03	3.77462176463371e+01
2.37814112809617e+03	3.77471689684996e+01
2.43298042003742e+03	3.77480778451492e+01
2.48908429123560e+03	3.77489461498854e+01
2.54648190254672e+03	3.77497756732582e+01
2.60520308726829e+03	3.77505681264255e+01
2.66527836664557e+03	3.77513251446724e+01
2.72673896573550e+03	3.77520482906398e+01
2.78961682963640e+03	3.77527390577233e+01
2.85394464009193e+03	3.77533988726836e+01
2.91975583247792e+03	3.77540290987558e+01
2.98708461318095e+03	3.77546310384676e+01
3.05596597737762e+03	3.77552059363332e+01
3.12643572722385e+03	3.77557549810745e+01
3.19853049046359e+03	3.77562793083945e+01
3.27228773946671e+03	3.77567800028989e+01
3.34774581070577e+03	3.77572581007391e+01
3.42494392468203e+03	3.77577145914817e+01
3.50392220631094e+03	3.77581504200060e+01
3.58472170577764e+03	3.77585664888997e+01
3.66738441987345e+03	3.77589636596524e+01
3.75195331382435e+03	3.77593427550581e+01
3.83847234362285e+03	3.77597045603124e+01
3.92698647887473e+03	3.77600498251997e+01
4.01754172617277e+03	3.77603792653301e+01
4.11018515300932e+03	3.77606935631421e+01
4.20496491224040e+03	3.77609933704505e+01
4.30193026711389e+03	3.77612793086453e+01
4.40113161687485e+03	3.77615519707802e+01
4.50262052296131e+03	3.77618119221187e+01
4.60644973580413e+03	3.77620597018583e+01
4.71267322224487e+03	3.77622958238391e+01
4.82134619358586e+03	3.77625207778491e+01
4.93252513428715e+03	3.77627350308123e+01
5.04626783132520e+03	3.77629390269508e+01
5.16263340422850e+03	3.77631331898458e+01
5.28168233580592e+03	3.77633179221372e+01
5.40347650358356e+03	3.77634936073836e+01
5.52807921196653e+03	3.77636606101828e+01
5.65555522514247e+03	3.77638192771588e+01
5.78597080074364e+03	3.77639699377010e+01
5.91939372428544e+03	3.77641129044451e+01
6.05589334439890e+03	3.77642484743103e+01
6.19554060887578e+03	3.77643769288295e+01
6.33840810154475e+03	3.77644985345990e+01
6.48457007999794e+03	3.77646135441043e+01
6.63410251418751e+03	3.77647221962681e+01
6.78708312591218e+03	3.77648247166564e+01
6.94359142921436e+03	3.77649213183014e+01
7.10370877170880e+03	3.77650122015671e+01
7.26751837686426e+03	3.77650975555143e+01
7.43510538726022e+03	3.77651775571011e+01
7.60655690884102e+03	3.77652523728233e+01
7.78196205619056e+03	3.77653221578636e+01
7.96141199885097e+03	3.77653870573216e+01
8.14500000870938e+03	3.77654472058476e+01
8.33282150847745e+03	3.77655027285797e+01
8.52497412128878e+03	3.77655537407536e+01
8.72155772144008e+03	3.77656003483351e+01
8.92267448630233e+03	3.77656426482473e+01
9.12842894942911e+03	3.77656807283183e+01
9.33892805488948e+03	3.77657146677039e+01
9.55428121285386e+03	3.77657445367556e+01
9.77460035646162e+03	3.77657703977850e+01
1.00000000000001e+04	3.77657923043792e+01
1.02305972984252e+04	3.77658103021564e+01
1.04665121082544e+04	3.77658244283653e+01
1.07078670498641e+04	3.77658347126544e+01
1.09547875712234e+04	3.77658411760844e+01
1.12074020130979e+04	3.77658438323263e+01
1.14658416757563e+04	3.77658426867842e+01
1.17302408872163e+04	3.77658377371136e+01
1.20007370730630e+04	3.77658289731032e+01
1.22774708278788e+04	3.77658163767471e+01
1.25605859883190e+04	3.77657999215294e+01
1.28502297078732e+04	3.77657795735729e+01
1.31465525333510e+04	3.77657552904777e+01
1.34497084831304e+04	3.77657270218309e+01
1.37598551272119e+04	3.77656947091639e+01
1.40771536691174e+04	3.77656582851106e+01
1.44017690296788e+04	3.77656176742255e+01
1.47338699327574e+04	3.77655727920448e+01
1.50736289929414e+04	3.77655235455520e+01
1.54212228052648e+04	3.77654698323449e+01
1.57768320369954e+04	3.77654115410212e+01
1.61406415215391e+04	3.77653485505629e+01
1.65128403545106e+04	3.77652807301284e+01
1.68936219920181e+04	3.77652079389717e+01
1.72831843512155e+04	3.77651300260512e+01
1.76817299131728e+04	3.77650468295032e+01
1.80894658281188e+04	3.77649581767540e+01
1.85066040231105e+04	3.77648638838647e+01
1.89333613121857e+04	3.77647637550795e+01
1.93699595090553e+04	3.77646575825156e+01
1.98166255423944e+04	3.77645451460193e+01
2.02735915737922e+04	3.77644262121409e+01
2.07410951184212e+04	3.77643005342708e+01
2.12193791684898e+04	3.77641678515246e+01
2.17086923195409e+04	3.77640278888727e+01
2.22092888996636e+04	3.77638803557929e+01
2.27214291016841e+04	3.77637249464393e+01
2.32453791184047e+04	3.77635613384681e+01
2.37814112809618e+04	3.77633891927543e+01
2.43298042003743e+04	3.77632081522560e+01
2.48908429123561e+04	3.77630178416764e+01
2.54648190254673e+04	3.77628178665880e+01
2.60520308726830e+04	3.77626078124897e+01
2.66527836664558e+04	3.77623872441336e+01
2.72673896573551e+04	3.77621557045601e+01
2.78961682963641e+04	3.77619127141438e+01
2.85394464009194e+04	3.77616577695110e+01
2.91975583247793e+04	3.77613903426759e+01
2.98708461318096e+04	3.77611098800007e+01
3.05596597737763e+04	3.77608158008728e+01
3.12643572722386e+04	3.77605074966860e+01
3.19853049046361e+04	3.77601843293741e+01
3.27228773946672e+04	3.77598456305118e+01
3.34774581070578e+04	3.77594906993821e+01
3.42494392468204e+04	3.77591188021469e+01
3.50392220631095e+04	3.77587291699371e+01
3.58472170577765e+04	3.77583209974325e+01
3.66738441987346e+04	3.77578934413632e+01
3.75195331382437e+04	3.77574456184181e+01
3.83847234362286e+04	3.77569766040481e+01
3.92698647887475e+04	3.77564854299019e+01
4.01754172617278e+04	3.77559710822911e+01
4.11018515300933e+04	3.77554325004200e+01
4.20496491224042e+04	3.77548685733575e+01
4.30193026711391e+04	3.77542781388509e+01
4.40113161687487e+04	3.77536599800330e+01
4.50262052296132e+04	3.77530128238854e+01
4.60644973580415e+04	3.77523353380665e+01
4.71267322224488e+04	3.77516261282110e+01
4.82134619358588e+04	3.77508837356923e+01
4.93252513428717e+04	3.77501066342176e+01
5.04626783132522e+04	3.77492932270563e+01
5.16263340422852e+04	3.77484418438404e+01
5.28168233580594e+04	3.77475507370668e+01
5.40347650358357e+04	3.77466180789303e+01
5.52807921196656e+04	3.77456419575575e+01
5.65555522514249e+04	3.77446203734683e+01
5.78597080074367e+04	3.77435512350613e+01
5.91939372428546e+04	3.77424323556117e+01
6.05589334439892e+04	3.77412614477335e+01
6.19554060887581e+04	3.77400361200952e+01
6.33840810154477e+04	3.77387538719122e+01
6.48457007999796e+04	3.77374120889282e+01
6.63410251418753e+04	3.77360080374874e+01
6.78708312591220e+04	3.77345388602155e+01
6.94359142921439e+04	3.77330015699431e+01
7.10370877170883e+04	3.77313930446171e+01
7.26751837686429e+04	3.77297100205074e+01
7.43510538726025e+04	3.77279490872655e+01
7.60655690884105e+04	3.77261066803634e+01
7.78196205619059e+04	3.77241790754656e+01
7.96141199885100e+04	3.77221623808931e+01
8.14500000870941e+04	3.77200525306418e+01
8.33282150847748e+04	3.77178452772858e+01
8.52497412128882e+04	3.77155361837989e+01
8.72155772144011e+04	3.77131206155792e+01
8.92267448630237e+04	3.77105937325564e+01
9.12842894942914e+04	3.77079504800888e+01
9.33892805488952e+04	3.77051855806482e+01
9.55428121285389e+04	3.77022935238085e+01
9.77460035646166e+04	3.76992685574754e+01
1.00000000000002e+05	3.76961046771630e+01
1.02305972984252e+05	3.76927956167062e+01
1.04665121082544e+05	3.76893348369166e+01
1.07078670498641e+05	3.76857155150124e+01
1.09547875712235e+05	3.76819305333038e+01
1.12074020130980e+05	3.76779724677413e+01
1.14658416757564e+05	3.76738335755297e+01
1.17302408872163e+05	3.76695057833252e+01
1.20007370730631e+05	3.76649806742159e+01
1.22774708278789e+05	3.76602494749380e+01
1.25605859883190e+05	3.76553030425269e+01
1.28502297078733e+05	3.76501318500954e+01
1.31465525333510e+05	3.76447259738661e+01
1.34497084831304e+05	3.76390750778844e+01
1.37598551272119e+05	3.76331683997495e+01
1.40771536691175e+05	3.76269947358543e+01
1.44017690296788e+05	3.76205424260528e+01
1.47338699327574e+05	3.76137993379418e+01
1.50736289929415e+05	3.76067528516112e+01
1.54212228052649e+05	3.75993898435210e+01
1.57768320369954e+05	3.75916966705411e+01
1.61406415215392e+05	3.75836591539337e+01
1.65128403545107e+05	3.75752625627062e+01
1.68936219920181e+05	3.75664915977918e+01
1.72831843512155e+05	3.75573303752428e+01
1.76817299131729e+05	3.75477624105250e+01
1.80894658281188e+05	3.75377706020494e+01
1.85066040231105e+05	3.75273372152526e+01
1.89333613121857e+05	3.75164438674121e+01
1.93699595090553e+05	3.75050715115202e+01
1.98166255423945e+05	3.74932004222977e+01
2.02735915737923e+05	3.74808101809455e+01
2.07410951184213e+05	3.74678796624771e+01
2.12193791684898e+05	3.74543870217922e+01
2.17086923195410e+05	3.74403096819088e+01
2.22092888996637e+05	3.74256243231303e+01
2.27214291016842e+05	3.74103068725478e+01
2.32453791184048e+05	3.73943324952972e+01
2.37814112809619e+05	3.73776755876608e+01
2.43298042003744e+05	3.73603097705950e+01
2.48908429123562e+05	3.73422078863037e+01
2.54648190254674e+05	3.73233419952255e+01
2.60520308726831e+05	3.73036833767703e+01
2.66527836664559e+05	3.72832025306195e+01
2.72673896573552e+05	3.72618691818661e+01
2.78961682963642e+05	3.72396522876788e+01
2.85394464009195e+05	3.72165200476450e+01
2.91975583247794e+05	3.71924399163820e+01
2.98708461318097e+05	3.71673786200478e+01
3.05596597737764e+05	3.71413021755789e+01
3.12643572722387e+05	3.71141759140492e+01
3.19853049046362e+05	3.70859645072386e+01
3.27228773946674e+05	3.70566319985820e+01
3.34774581070579e+05	3.70261418384418e+01
3.42494392468206e+05	3.69944569225157e+01
3.50392220631097e+05	3.69615396358101e+01
3.58472170577766e+05	3.69273519003570e+01
3.66738441987347e+05	3.68918552281411e+01
3.75195331382438e+05	3.68550107775785e+01
3.83847234362288e+05	3.68167794161103e+01
3.92698647887476e+05	3.67771217864101e+01
4.01754172617280e+05	3.67359983771643e+01
4.11018515300935e+05	3.66933695996893e+01
4.20496491224043e+05	3.66491958673662e+01
4.30193026711392e+05	3.66034376804594e+01
4.40113161687488e+05	3.65560557149337e+01
4.50262052296134e+05	3.65070109149025e+01
4.60644973580416e+05	3.64562645884722e+01
4.71267322224490e+05	3.64037785079275e+01
4.82134619358589e+05	3.63495150111278e+01
4.93252513428719e+05	3.62934371066285e+01
5.04626783132524e+05	3.62355085805194e+01
5.16263340422854e+05	3.61756941041150e+01
5.28168233580596e+05	3.61139593432059e+01
5.40347650358360e+05	3.60502710667285e+01
5.52807921196658e+05	3.59845972563313e+01
5.65555522514251e+05	3.59169072131523e+01
5.78597080074369e+05	3.58471716644417e+01
5.91939372428548e+05	3.57753628663871e+01
6.05589334439894e+05	3.57014547046221e+01
6.19554060887583e+05	3.56254227907629e+01
6.33840810154480e+05	3.55472445531189e+01
6.48457007999799e+05	3.54668993239387e+01
6.63410251418756e+05	3.53843684187305e+01
6.78708312591223e+05	3.52996352108019e+01
6.94359142921441e+05	3.52126851964313e+01
7.10370877170885e+05	3.51235060542324e+01
7.26751837686432e+05	3.50320876946523e+01
7.43510538726028e+05	3.49384223017033e+01
7.60655690884108e+05	3.48425043651521e+01
7.78196205619062e+05	3.47443307032459e+01
7.96141199885103e+05	3.46439004763377e+01
8.14500000870944e+05	3.45412151902013e+01
8.33282150847751e+05	3.44362786900060e+01
8.52497412128885e+05	3.43290971445725e+01
8.72155772144015e+05	3.42196790211181e+01
8.92267448630240e+05	3.41080350501440e+01
9.12842894942918e+05	3.39941781824690e+01
9.33892805488955e+05	3.38781235363479e+01
9.55428121285393e+05	3.37598883370900e+01
9.77460035646169e+05	3.36394918492469e+01
1.00000000000002e+06	3.35169553008179e+01
1.02305972984253e+06	3.33923018018445e+01
