Freq.	V(vo)/V(vi)
1.00000000000000e+01	-2.38742361921261e+01
1.02305972984251e+01	-2.36416521283874e+01
1.04665121082543e+01	-2.34073280294518e+01
1.07078670498640e+01	-2.31712399157834e+01
1.09547875712233e+01	-2.29333635369136e+01
1.12074020130978e+01	-2.26936744952958e+01
1.14658416757562e+01	-2.24521483730701e+01
1.17302408872161e+01	-2.22087608610481e+01
1.20007370730629e+01	-2.19634878900356e+01
1.22774708278787e+01	-2.17163057638924e+01
1.25605859883189e+01	-2.14671912939943e+01
1.28502297078731e+01	-2.12161219346031e+01
1.31465525333508e+01	-2.09630759187100e+01
1.34497084831302e+01	-2.07080323937904e+01
1.37598551272117e+01	-2.04509715568112e+01
1.40771536691173e+01	-2.01918747879659e+01
1.44017690296786e+01	-1.99307247825008e+01
1.47338699327572e+01	-1.96675056798613e+01
1.50736289929412e+01	-1.94022031896601e+01
1.54212228052647e+01	-1.91348047135670e+01
1.57768320369952e+01	-1.88652994626439e+01
1.61406415215389e+01	-1.85936785693683e+01
1.65128403545104e+01	-1.83199351936452e+01
1.68936219920179e+01	-1.80440646223398e+01
1.72831843512153e+01	-1.77660643615721e+01
1.76817299131726e+01	-1.74859342214041e+01
1.80894658281185e+01	-1.72036763923372e+01
1.85066040231103e+01	-1.69192955132071e+01
1.89333613121855e+01	-1.66327987301443e+01
1.93699595090551e+01	-1.63441957464077e+01
1.98166255423942e+01	-1.60534988626675e+01
2.02735915737920e+01	-1.57607230078750e+01
2.07410951184210e+01	-1.54658857604742e+01
2.12193791684895e+01	-1.51690073601033e+01
2.17086923195406e+01	-1.48701107099591e+01
2.22092888996634e+01	-1.45692213698290e+01
2.27214291016839e+01	-1.42663675403393e+01
2.32453791184044e+01	-1.39615800385851e+01
2.37814112809615e+01	-1.36548922656289e+01
2.43298042003741e+01	-1.33463401663564e+01
2.48908429123558e+01	-1.30359621822651e+01
2.54648190254671e+01	-1.27237991976952e+01
2.60520308726827e+01	-1.24098944801408e+01
2.66527836664555e+01	-1.20942936154092e+01
2.72673896573547e+01	-1.17770444380847e+01
2.78961682963638e+01	-1.14581969582217e+01
2.85394464009191e+01	-1.11378032847204e+01
2.91975583247790e+01	-1.08159175462549e+01
2.98708461318093e+01	-1.04925958102210e+01
3.05596597737760e+01	-1.01678960005712e+01
3.12643572722382e+01	-9.84187781486129e+00
3.19853049046357e+01	-9.51460264139406e+00
3.27228773946669e+01	-9.18613347665129e+00
3.34774581070574e+01	-8.85653484378935e+00
3.42494392468201e+01	-8.52587271236855e+00
3.50392220631091e+01	-8.19421441991756e+00
3.58472170577761e+01	-7.86162859553134e+00
3.66738441987342e+01	-7.52818508563800e+00
3.75195331382432e+01	-7.19395488248061e+00
3.83847234362282e+01	-6.85901005502710e+00
3.92698647887470e+01	-6.52342368274826e+00
4.01754172617274e+01	-6.18726979212549e+00
4.11018515300928e+01	-5.85062329580389e+00
4.20496491224037e+01	-5.51355993446846e+00
4.30193026711386e+01	-5.17615622126629e+00
4.40113161687482e+01	-4.83848938853970e+00
4.50262052296127e+01	-4.50063733671564e+00
4.60644973580409e+01	-4.16267858516719e+00
4.71267322224483e+01	-3.82469222461122e+00
4.82134619358582e+01	-3.48675787099849e+00
4.93252513428712e+01	-3.14895562021521e+00
5.04626783132516e+01	-2.81136600372448e+00
5.16263340422846e+01	-2.47406994431977e+00
5.28168233580588e+01	-2.13714871200646e+00
5.40347650358351e+01	-1.80068387948944e+00
5.52807921196649e+01	-1.46475727688185e+00
5.65555522514243e+01	-1.12945094552987e+00
5.78597080074360e+01	-7.94847090296683e-01
5.91939372428539e+01	-4.61028030291290e-01
6.05589334439885e+01	-1.28076147630572e-01
6.19554060887574e+01	2.03926165924751e-01
6.33840810154470e+01	5.34896564837464e-01
6.48457007999789e+01	8.64752808092209e-01
6.63410251418746e+01	1.19341282026293e+00
6.78708312591213e+01	1.52079475528305e+00
6.94359142921431e+01	1.84681706307991e+00
7.10370877170875e+01	2.17139855892497e+00
7.26751837686421e+01	2.49445849559155e+00
7.43510538726017e+01	2.81591663799522e+00
7.60655690884097e+01	3.13569334036061e+00
7.78196205619051e+01	3.45370962555083e+00
7.96141199885091e+01	3.76988726625558e+00
8.14500000870932e+01	4.08414886794188e+00
8.33282150847739e+01	4.39641795284926e+00
8.52497412128872e+01	4.70661904493149e+00
