Freq.	abs(V(vo))/abs(V(vi))
1.00000000000000e+01	6.44636584124906e-01
5.00000000000000e+01	1.37779345533864e+01
1.00000000000000e+02	3.47803729146917e+01
2.00000000000000e+02	5.84804073957459e+01
5.00000000000000e+02	7.34420884254821e+01
8.00000000000000e+02	7.57608951436636e+01
1.00000000000000e+03	7.63196301298181e+01
1.50000000000000e+03	7.68806068894318e+01
2.00000000000000e+03	7.70790693441109e+01
5.00000000000000e+03	7.72934852717323e+01
8.00000000000000e+03	7.73161126797848e+01
1.00000000000000e+04	7.73196029574478e+01
5.00000000000000e+04	7.71758314796023e+01
1.00000000000000e+05	7.67017431281387e+01
2.00000000000000e+05	7.48881158029202e+01
4.00000000000000e+05	6.87385486313055e+01
5.00000000000000e+05	6.50065211684562e+01
8.00000000000000e+05	5.38412979208003e+01
1.00000000000000e+06	4.74075776477505e+01
1.50000000000000e+06	3.55320704719398e+01
2.00000000000000e+06	2.79736792268769e+01
