Freq.	abs(V(vo))/abs(V(vi)) abs(V(vof))/abs(V(vif))
1.00000000000000e+01	1.10000000000000e+00 1.25000000000000e-01
5.00000000000000e+01	1.49000000000000e+01 9.10000000000000e-01
1.00000000000000e+02	3.37500000000000e+01 2.10000000000000e+00
2.00000000000000e+02	5.40000000000000e+01 4.64000000000000e+00
5.00000000000000e+02	6.05000000000000e+01 8.40000000000000e+00
8.00000000000000e+02	5.85000000000000e+01 9.50000000000000e+00
1.00000000000000e+03	5.40000000000000e+01 1.00000000000000e+01
1.50000000000000e+03	6.35000000000000e+01 1.03000000000000e+01
2.00000000000000e+03	6.20000000000000e+01 1.01000000000000e+01
5.00000000000000e+03	5.90000000000000e+01 9.80000000000000e+00
8.00000000000000e+03	6.05000000000000e+01 1.00000000000000e+01
1.00000000000000e+04	6.05000000000000e+01 9.80000000000000e+00
5.00000000000000e+04	5.90000000000000e+01 1.00000000000000e+01
1.00000000000000e+05	6.20000000000000e+01 1.00000000000000e+01
2.00000000000000e+05	6.00000000000000e+01 9.90000000000000e+00
4.00000000000000e+05	5.40000000000000e+01 9.70000000000000e+00
5.00000000000000e+05	5.10000000000000e+01 9.80000000000000e+00
8.00000000000000e+05	4.10000000000000e+01 9.70000000000000e+00
1.00000000000000e+06	3.70000000000000e+01 9.50000000000000e+00
1.50000000000000e+06	2.50000000000000e+01 9.10000000000000e+00
2.00000000000000e+06	1.70000000000000e+01 8.20000000000000e+00
