Freq.	abs(V(vo))/abs(V(vi))
1.00000000000000e+01	3.07578944831328e-01
5.00000000000000e+01	1.46464367364562e+00
1.00000000000000e+02	2.99015839066570e+00
2.00000000000000e+02	5.65804674893066e+00
5.00000000000000e+02	9.30105696062929e+00
8.00000000000000e+02	1.02932881286472e+01
1.00000000000000e+03	1.05675362814487e+01
1.50000000000000e+03	1.08596578574393e+01
2.00000000000000e+03	1.09674149040459e+01
5.00000000000000e+03	1.10872536647934e+01
8.00000000000000e+03	1.11013994862201e+01
1.00000000000000e+04	1.11046672968850e+01
5.00000000000000e+04	1.11099149952276e+01
1.00000000000000e+05	1.11090135231386e+01
2.00000000000000e+05	1.11047548762302e+01
4.00000000000000e+05	1.10876050883397e+01
5.00000000000000e+05	1.10747867994890e+01
8.00000000000000e+05	1.10197348455191e+01
1.00000000000000e+06	1.09696228044747e+01
1.50000000000000e+06	1.08006736575770e+01
2.00000000000000e+06	1.05764668743687e+01
