time;V(/derivated);V(/derivated_pre);V(/derivated_twice);V(/integrated);V(/integrated_pre);V(/rectified);V(/rectified_pre);V(/vi);V(/vi_buffered);V(/vi_offseted);
0,009049;0,0316712;2,88226;0,0135901;-1,43105;-1,81772;0,00103117;0,00130926;2,5;2,49993;1,49781;
0,00904906;0,0354737;2,87329;0,0184349;-1,42776;-1,81854;0,00193318;0,00189982;2,5;2,49993;1,4978;
0,00904915;0,0417808;2,85873;0,0268597;-1,42308;-1,81972;0,00327253;0,00274609;2,5;2,49993;1,4978;
0,00904927;0,0517088;2,83629;0,0406335;-1,41688;-1,82128;0,00507249;0,00387587;2,5;2,49993;1,4978;
0,00904945;0,0690639;2,79785;0,0653456;-1,4079;-1,82357;0,00775078;0,00560334;2,5;2,49993;1,4978;
0,00904965;0,0940286;2,74349;0,101312;-1,39717;-1,82631;0,0114366;0,00812383;2,5;2,49993;1,4978;
0,00904982;0,117078;2,69386;0,134508;-1,38856;-1,82851;0,0153405;0,0109606;2,5;2,49993;1,4978;
0,00905;0,143852;2,63665;0,172795;-1,37955;-1,83082;0,0214355;0,0155695;2,5;2,49993;1,4978;
0,00905017;0,173084;2,57454;0,214132;-1,37054;-1,83313;0,0311334;0,0229282;2,5;2,49993;1,4978;
0,00905038;0,210853;2,49472;0,266707;-1,35978;-1,83588;0,0495834;0,0364209;2,5;2,49993;1,4978;
0,00905058;0,24877;2,41492;0,318498;-1,34972;-1,83846;0,0742368;0,0535079;2,5;2,49993;1,4978;
0,00905076;0,286094;2,33662;0,368483;-1,34034;-1,84086;0,102529;0,0723027;2,5;2,49993;1,4978;
0,009051;0,336482;2,23124;0,434361;-1,3283;-1,84394;0,143801;0,0991326;2,5;2,49993;1,4978;
0,00905129;0,402263;2,09408;0,517604;-1,31338;-1,84776;0,199997;0,13516;2,5;2,49993;1,4978;
0,00905164;0,486264;1,91945;0,619393;-1,29523;-1,85241;0,272474;0,181109;2,5;2,49993;1,4978;
0,00905218;0,621098;1,64006;0,77226;-1,26742;-1,85953;0,385844;0,252432;2,5;2,49993;1,4978;
0,0090527;0,754154;1,36515;0,910582;-1,24088;-1,86632;0,491503;0,318421;2,5;2,49993;1,4978;
0,00905334;0,92091;1,02145;1,06618;-1,20802;-1,87474;0,612817;0,393854;2,5;2,49993;1,4978;
0,00905408;1,11111;0,630285;1,21903;-1,17026;-1,88441;0,734216;0,46885;2,5;2,49993;1,4978;
0,00905474;1,27592;0,29194;1,32932;-1,13666;-1,89302;0,823093;0,523453;2,5;2,49993;1,4978;
0,00905555;1,46954;-0,104986;1,43104;-1,09531;-1,90361;0,906617;0,57437;2,5;2,49993;1,4978;
0,00905629;1,63563;-0,445045;1,49231;-1,05753;-1,91329;0,958238;0,605396;2,5;2,49993;1,4978;
0,00905705;1,7927;-0,766315;1,52602;-1,01908;-1,92314;0,988242;0,622972;2,5;2,49993;1,4978;
0,00905782;1,93987;-1,06706;1,53386;-0,979832;-1,93319;0,997794;0,627757;2,5;2,49993;1,4978;
0,00905866;2,08461;-1,36263;1,51632;-0,937171;-1,94412;0,987322;0,620104;2,5;2,49993;1,4978;
0,00905951;2,21645;-1,63162;1,47527;-0,89358;-1,9553;0,9581;0,600791;2,5;2,49993;1,4978;
0,00906054;2,35373;-1,91153;1,40269;-0,841493;-1,96864;0,904162;0,566078;2,5;2,49993;1,4978;
0,00906189;2,50314;-2,21591;1,2812;-0,77324;-1,98614;0,812187;0,507531;2,5;2,49993;1,4978;
0,00906326;2,62399;-2,46188;1,13985;-0,703675;-2,00397;0,704213;0,439329;2,5;2,49993;1,4978;
0,00906464;2,71814;-2,65337;0,992627;-0,633977;-2,02183;0,591615;0,368464;2,5;2,49993;1,4978;
0,00906631;2,80294;-2,82567;0,819745;-0,549717;-2,04343;0,45988;0,285851;2,5;2,49993;1,4978;
0,00906818;2,86857;-2,95888;0,6436;-0,455421;-2,0676;0,327426;0,202987;2,5;2,49993;1,4978;
0,0090699;2,90851;-3,03984;0,503547;-0,368841;-2,0898;0,224773;0,138948;2,5;2,49993;1,4978;
0,00907171;2,93561;-3,09469;0,38076;-0,277976;-2,11309;0,139102;0,0856267;2,5;2,49993;1,4978;
